MSZoning,LotFrontage,LotArea,Street,LotShape,Utilities,LotConfig,LandSlope,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,Foundation,BsmtQual,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Kitchen,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,PoolArea,PoolQC,Fence,MiscFeature,SalePrice
RL,105.0,15431,Pave,Reg,AllPub,Inside,Gtl,10,2008,2008,Hip,Ex,PConc,Ex,3094.0,GasA,Ex,Y,SBrkr,2402,0,2402,1.0,0.0,2,0,2,1,Ex,10,2,Gd,Attchd,3.0,TA,0,72,0,0,,,,555000.0
RL,92.0,12108,Pave,Reg,AllPub,Inside,Gtl,4,1955,1955,Gable,TA,CBlock,TA,1440.0,GasA,TA,N,FuseF,1440,0,1440,0.0,0.0,2,0,4,2,Fa,8,0,,,0.0,,0,0,0,0,,,,118000.0
RM,52.0,6240,Pave,Reg,AllPub,Inside,Gtl,5,1930,1992,Gable,TA,PConc,TA,1078.0,GasA,TA,Y,SBrkr,1128,445,1573,0.0,0.0,2,0,3,1,TA,8,1,Gd,Detchd,2.0,TA,0,0,0,0,,,,162900.0
RL,53.0,3922,Pave,Reg,AllPub,Inside,Gtl,7,2006,2007,Gable,Gd,PConc,Ex,1258.0,GasA,Ex,Y,SBrkr,1258,0,1258,0.0,0.0,2,0,2,1,Gd,6,1,Gd,Attchd,3.0,TA,144,16,0,0,,,,172500.0
RL,70.0,8750,Pave,Reg,AllPub,Inside,Gtl,7,1994,1995,Gable,Gd,PConc,Gd,915.0,GasA,Ex,Y,SBrkr,933,975,1908,1.0,0.0,2,1,4,1,Gd,8,1,TA,Attchd,2.0,TA,144,133,0,0,,,,210000.0
RL,73.0,9855,Pave,Reg,AllPub,Corner,Gtl,6,1956,1956,Hip,TA,CBlock,TA,1436.0,GasA,Fa,Y,SBrkr,1689,0,1689,0.0,0.0,1,0,3,1,TA,7,1,Gd,Attchd,2.0,TA,0,0,0,0,,MnPrv,,127500.0
RL,137.0,16492,Pave,IR1,AllPub,Corner,Gtl,6,1966,2002,Gable,Gd,CBlock,TA,1517.0,GasA,Ex,Y,SBrkr,1888,0,1888,0.0,0.0,2,1,2,1,Gd,6,1,Gd,Attchd,2.0,TA,0,0,0,0,,,,190000.0
RL,,11214,Pave,IR1,AllPub,Corner,Gtl,7,1998,1999,Gable,Gd,PConc,Gd,930.0,GasA,Gd,Y,SBrkr,956,930,1886,0.0,0.0,2,1,4,1,Gd,10,1,TA,Attchd,2.0,TA,89,0,0,0,,,,199900.0
RM,50.0,8600,Pave,Reg,AllPub,Inside,Gtl,6,1937,1950,Gable,TA,BrkTil,TA,780.0,GasA,TA,Y,SBrkr,780,596,1376,0.0,0.0,2,0,3,1,TA,7,1,Gd,Detchd,1.0,TA,0,0,0,0,,,,119500.0
RM,50.0,6000,Pave,Reg,AllPub,Inside,Gtl,3,1948,2002,Gable,TA,CBlock,TA,649.0,GasA,Ex,Y,SBrkr,679,504,1183,0.0,0.0,1,1,2,1,TA,6,0,,Detchd,1.0,TA,0,176,0,0,,,,120000.0
RM,70.0,5684,Pave,Reg,AllPub,Inside,Gtl,6,1930,2005,Hip,TA,BrkTil,TA,813.0,GasA,Ex,Y,FuseA,813,0,813,0.0,0.0,1,0,2,1,Gd,5,0,,Detchd,1.0,Fa,0,113,0,0,,,,110000.0
RL,62.0,70761,Pave,IR1,AllPub,Inside,Mod,7,1975,1975,Gable,TA,CBlock,Gd,1533.0,GasA,TA,Y,SBrkr,1533,0,1533,1.0,0.0,2,0,2,1,Gd,5,2,TA,Attchd,2.0,TA,200,54,0,0,,,,280000.0
RL,,9303,Pave,IR1,AllPub,Corner,Gtl,6,1996,1997,Hip,Gd,PConc,Ex,872.0,GasA,Ex,Y,SBrkr,888,868,1756,1.0,0.0,2,1,3,1,TA,7,0,,Attchd,2.0,TA,144,122,0,0,,,,204000.0
FV,75.0,9000,Pave,Reg,AllPub,Inside,Gtl,8,2008,2008,Gable,Gd,PConc,Gd,768.0,GasA,Ex,Y,SBrkr,786,804,1590,0.0,0.0,2,1,3,1,Gd,6,0,,Attchd,2.0,TA,0,30,0,0,,,,210000.0
RL,63.0,9297,Pave,Reg,AllPub,Inside,Gtl,5,1976,1976,Gable,TA,CBlock,TA,1728.0,GasA,TA,Y,SBrkr,1728,0,1728,2.0,0.0,2,0,4,2,TA,8,0,,Detchd,2.0,TA,0,0,0,0,,,,188000.0
RL,80.0,9600,Pave,Reg,AllPub,Inside,Gtl,7,1973,1973,Hip,TA,CBlock,TA,1242.0,GasA,Fa,Y,SBrkr,1242,0,1242,0.0,0.0,1,1,3,1,TA,6,1,TA,Attchd,2.0,TA,0,0,0,0,,,,175500.0
RM,34.0,4571,Pave,Reg,AllPub,Inside,Gtl,5,1916,1950,Gable,TA,BrkTil,TA,624.0,GasA,Fa,N,SBrkr,624,720,1344,0.0,0.0,1,0,4,1,TA,7,0,,Detchd,3.0,Fa,0,0,96,0,,,,98000.0
RL,,53227,Pave,IR1,AllPub,CulDSac,Mod,4,1954,1994,Flat,TA,CBlock,Gd,1364.0,GasA,Ex,Y,SBrkr,1663,0,1663,1.0,0.0,1,0,2,1,Gd,6,2,Gd,Attchd,2.0,TA,224,137,0,0,,,,256000.0
RM,,5100,Pave,Reg,AllPub,Inside,Gtl,8,1925,1996,Hip,TA,PConc,TA,588.0,GasA,Fa,Y,SBrkr,833,833,1666,0.0,0.0,1,0,3,1,Gd,7,1,Gd,Detchd,1.0,TA,192,63,0,0,,MnPrv,,161000.0
RL,,7015,Pave,IR1,AllPub,Corner,Gtl,5,1950,1950,Gable,TA,CBlock,TA,709.0,GasA,TA,Y,SBrkr,979,224,1203,1.0,0.0,1,0,3,1,Gd,5,1,TA,Detchd,1.0,TA,0,0,248,0,,,,110000.0
FV,75.0,8004,Pave,IR1,AllPub,Inside,Gtl,8,2009,2009,Gable,Gd,PConc,Gd,832.0,GasA,Ex,Y,SBrkr,832,1103,1935,1.0,0.0,2,1,3,1,TA,8,0,,BuiltIn,2.0,TA,0,150,0,0,,,,263435.0
RL,60.0,7200,Pave,Reg,AllPub,Inside,Gtl,7,1936,2007,Gable,Gd,PConc,Gd,560.0,GasA,Ex,Y,SBrkr,575,560,1135,1.0,0.0,1,0,3,1,Gd,6,0,,Detchd,2.0,TA,256,0,0,0,,MnPrv,,155000.0
RL,60.0,8281,Pave,IR1,AllPub,Inside,Gtl,5,1965,1965,Gable,TA,CBlock,TA,864.0,GasA,Gd,Y,SBrkr,864,0,864,0.0,0.0,1,0,3,1,TA,5,1,Po,Detchd,1.0,TA,0,0,236,0,,GdWo,,62383.0
RL,74.0,11988,Pave,IR1,AllPub,Inside,Mod,6,1934,1995,Hip,TA,CBlock,TA,715.0,GasA,Fa,Y,FuseA,849,811,1660,0.0,0.0,1,1,3,1,TA,6,1,Gd,Detchd,1.0,TA,0,0,0,0,,,,188700.0
RL,60.0,8430,Pave,Reg,AllPub,Inside,Mod,5,1978,1978,Gable,TA,CBlock,Gd,1040.0,GasA,TA,Y,SBrkr,1040,0,1040,0.0,0.0,2,0,3,1,TA,5,0,,,0.0,,0,0,0,0,,,,124000.0
RM,,3072,Pave,Reg,AllPub,Inside,Gtl,7,2004,2004,Hip,Gd,PConc,Gd,1375.0,GasA,Ex,Y,SBrkr,1414,0,1414,0.0,0.0,2,0,2,1,Gd,6,1,TA,Attchd,2.0,TA,144,20,0,0,,,,178740.0
RL,85.0,10628,Pave,Reg,AllPub,Inside,Gtl,7,1970,1970,Flat,TA,CBlock,TA,1277.0,GasA,TA,Y,SBrkr,1277,0,1277,1.0,0.0,1,0,2,1,TA,5,1,Po,Attchd,2.0,TA,0,0,0,0,,GdWo,,167000.0
RL,79.0,9480,Pave,Reg,AllPub,Inside,Gtl,5,1942,1995,Gable,TA,CBlock,TA,728.0,GasA,Ex,Y,SBrkr,888,756,1644,0.0,0.0,1,1,3,1,Gd,7,2,Gd,Attchd,1.0,TA,168,0,0,0,,,,146500.0
RL,98.0,11428,Pave,IR1,AllPub,Inside,Gtl,8,2006,2006,Gable,Gd,PConc,Gd,1626.0,GasA,Ex,Y,SBrkr,1634,0,1634,0.0,0.0,2,0,3,1,Gd,7,1,Gd,Attchd,3.0,TA,0,44,0,0,,,,250000.0
RL,76.0,9291,Pave,IR1,AllPub,Corner,Gtl,6,1993,1993,Gable,Gd,PConc,Gd,832.0,GasA,Ex,Y,SBrkr,832,878,1710,0.0,0.0,2,1,3,1,Gd,7,0,,Attchd,2.0,TA,144,70,0,0,,,,187000.0
RL,,6820,Pave,IR1,AllPub,Corner,Gtl,8,1985,1985,Gable,Gd,PConc,Gd,1488.0,GasA,TA,Y,SBrkr,1502,0,1502,1.0,0.0,1,1,1,1,Gd,4,0,,Attchd,2.0,TA,0,54,0,0,,,,212000.0
RL,92.0,11952,Pave,Reg,AllPub,Inside,Gtl,7,1977,1977,Mansard,TA,CBlock,Gd,808.0,GasA,TA,Y,SBrkr,1161,808,1969,0.0,0.0,2,1,3,1,TA,8,1,Gd,Attchd,2.0,TA,0,0,0,0,,,,190000.0
RM,35.0,3675,Pave,Reg,AllPub,Inside,Gtl,6,2005,2005,Gable,TA,PConc,Gd,547.0,GasA,Ex,Y,SBrkr,1072,0,1072,1.0,0.0,1,0,2,1,TA,5,0,,Basment,2.0,TA,0,28,0,0,,,,148000.0
RL,110.0,14977,Pave,IR1,AllPub,Inside,Gtl,8,2006,2007,Gable,Gd,PConc,Ex,1976.0,GasA,Ex,Y,SBrkr,1976,0,1976,1.0,0.0,2,0,2,1,Gd,7,1,Ex,Attchd,3.0,TA,250,63,0,0,,,,440000.0
RL,41.0,5330,Pave,Reg,AllPub,Inside,Gtl,8,2000,2000,Gable,Gd,PConc,Gd,1494.0,GasA,Ex,Y,SBrkr,1652,0,1652,1.0,0.0,2,0,2,1,Ex,6,0,,Attchd,2.0,TA,96,48,0,0,,,,251000.0
RL,80.0,8480,Pave,Reg,AllPub,Corner,Gtl,5,1963,1963,Hip,TA,CBlock,TA,970.0,GasA,TA,Y,SBrkr,970,0,970,1.0,0.0,1,0,2,1,TA,5,0,,Detchd,2.0,TA,0,24,0,0,,,,132500.0
RL,75.0,13125,Pave,Reg,AllPub,Inside,Mod,6,1997,1998,Gable,TA,PConc,Gd,1478.0,GasA,Ex,Y,SBrkr,1493,0,1493,1.0,0.0,2,0,3,1,Gd,7,1,TA,Attchd,2.0,TA,140,39,0,0,,,,208900.0
RL,105.0,13693,Pave,Reg,AllPub,Inside,Gtl,9,2006,2006,Hip,Ex,PConc,Gd,2153.0,GasA,Ex,Y,SBrkr,2069,574,2643,0.0,0.0,2,1,3,1,Ex,9,1,Gd,BuiltIn,3.0,TA,414,84,0,0,,,,380000.0
RL,79.0,10637,Pave,Reg,AllPub,Inside,Gtl,8,2007,2008,Hip,Gd,PConc,Ex,1705.0,GasA,Ex,Y,SBrkr,1718,0,1718,1.0,0.0,2,0,3,1,Gd,7,1,Gd,Attchd,3.0,TA,208,44,0,0,,,,297000.0
RM,50.0,5925,Pave,Reg,AllPub,Inside,Gtl,4,1937,2000,Hip,TA,BrkTil,Fa,907.0,GasA,TA,Y,SBrkr,1131,0,1131,0.0,0.0,1,0,2,1,TA,7,0,,Detchd,2.0,TA,0,72,0,0,,MnPrv,,89471.0
RL,98.0,16033,Pave,IR1,AllPub,FR2,Gtl,9,2004,2005,Hip,Gd,PConc,Ex,1833.0,GasA,Ex,Y,SBrkr,1850,0,1850,1.0,0.0,2,0,3,1,Gd,8,1,Gd,Attchd,3.0,TA,519,112,0,0,,,,326000.0
RL,72.0,11846,Pave,IR1,AllPub,Inside,Gtl,9,2003,2004,Hip,Gd,PConc,Ex,1792.0,GasA,Ex,Y,SBrkr,1792,0,1792,1.0,0.0,2,0,2,1,Ex,6,1,Gd,Attchd,3.0,TA,206,49,0,0,,,,374000.0
RM,50.0,2500,Pave,Reg,AllPub,Corner,Gtl,7,1915,2005,Gable,Gd,PConc,TA,910.0,GasA,Ex,Y,SBrkr,916,910,1826,1.0,0.0,1,1,4,1,Ex,7,1,Gd,Attchd,1.0,Fa,0,0,0,0,,,,155000.0
RM,32.0,4500,Pave,Reg,AllPub,FR2,Gtl,6,1998,1998,Hip,TA,PConc,Ex,1216.0,GasA,Ex,Y,SBrkr,1216,0,1216,1.0,0.0,2,0,2,1,TA,5,0,,Attchd,2.0,TA,0,125,0,0,,,,164000.0
RL,,7758,Pave,IR1,AllPub,Corner,Gtl,5,1962,2001,Gable,TA,CBlock,TA,999.0,GasA,Gd,Y,SBrkr,999,0,999,1.0,0.0,1,0,3,1,Gd,6,0,,Detchd,1.0,TA,0,132,0,0,,,,132500.0
RL,80.0,9600,Pave,Reg,AllPub,Inside,Gtl,5,1950,2007,Gable,Gd,CBlock,TA,1113.0,GasA,Gd,Y,SBrkr,1113,0,1113,0.0,0.0,1,0,3,1,Gd,5,1,Gd,Attchd,1.0,TA,0,80,120,0,,,,147000.0
RL,79.0,10289,Pave,Reg,AllPub,Inside,Gtl,5,1965,1965,Hip,TA,CBlock,TA,1073.0,GasA,TA,Y,SBrkr,1073,0,1073,1.0,0.0,1,1,3,1,TA,6,0,,Attchd,2.0,TA,0,0,0,0,,,,156000.0
RL,70.0,12243,Pave,IR1,AllPub,Inside,Gtl,5,1971,1971,Gable,TA,CBlock,Gd,1484.0,GasA,Gd,Y,SBrkr,1484,0,1484,0.0,0.0,2,0,3,1,TA,7,1,TA,Attchd,2.0,TA,224,0,0,0,,,,175000.0
RL,60.0,10800,Pave,Reg,AllPub,Corner,Gtl,5,1900,1970,Gable,TA,CBlock,TA,954.0,GasA,TA,N,FuseA,1766,648,2414,0.0,0.0,2,0,3,2,TA,10,1,Gd,Attchd,2.0,TA,142,0,0,0,,,,160000.0
RM,21.0,1526,Pave,Reg,AllPub,Inside,Gtl,4,1970,2002,Gable,TA,CBlock,Gd,630.0,GasA,TA,Y,SBrkr,630,0,630,1.0,0.0,1,0,1,1,Gd,3,0,,Attchd,1.0,TA,0,0,0,0,,,,86000.0
RM,,2665,Pave,Reg,AllPub,Inside,Gtl,5,1976,1976,Gable,TA,PConc,Gd,264.0,GasA,TA,Y,SBrkr,616,688,1304,0.0,0.0,1,1,3,1,TA,4,1,Gd,BuiltIn,1.0,TA,141,24,0,0,,,,115000.0
RL,79.0,9490,Pave,Reg,AllPub,Inside,Gtl,6,1941,1950,Gable,TA,CBlock,TA,806.0,GasA,TA,Y,FuseA,958,620,1578,1.0,0.0,1,0,3,1,Fa,5,2,TA,Attchd,1.0,TA,0,0,32,0,,MnPrv,,133000.0
RL,105.0,15578,Pave,IR1,AllPub,Corner,Gtl,6,2006,2006,Gable,Gd,PConc,Gd,728.0,GasA,Gd,Y,SBrkr,728,728,1456,0.0,0.0,2,1,3,1,TA,8,0,,Attchd,2.0,TA,0,0,0,0,,,,172785.0
RL,70.0,7931,Pave,Reg,AllPub,Inside,Gtl,5,1960,1960,Gable,TA,CBlock,TA,1269.0,GasA,TA,Y,FuseA,1269,0,1269,0.0,0.0,1,1,3,1,TA,6,1,Fa,Detchd,1.0,TA,0,0,0,0,,,,155000.0
RM,50.0,5784,Pave,Reg,AllPub,Inside,Gtl,5,1938,1996,Gable,TA,BrkTil,Fa,190.0,GasA,Gd,Y,FuseA,886,0,886,0.0,0.0,1,0,2,1,TA,4,0,,Attchd,1.0,TA,144,20,80,0,,,,91300.0
C (all),60.0,7879,Pave,Reg,AllPub,Inside,Gtl,4,1920,1950,Gable,TA,CBlock,TA,720.0,GasA,TA,N,FuseA,720,0,720,0.0,0.0,1,0,2,1,TA,4,0,,,0.0,,0,523,115,0,,GdWo,,34900.0
RL,,12692,Pave,IR1,AllPub,Inside,Gtl,8,1992,1993,Hip,Gd,PConc,Gd,3200.0,GasA,Ex,Y,SBrkr,3228,0,3228,1.0,0.0,3,0,4,1,Gd,10,1,Gd,Attchd,2.0,TA,264,75,291,0,,,,430000.0
RL,60.0,9120,Pave,Reg,AllPub,Inside,Gtl,7,1925,1950,Gable,TA,PConc,TA,1026.0,GasA,Ex,Y,SBrkr,1133,687,1820,1.0,0.0,2,0,4,1,TA,8,0,,Detchd,1.0,TA,0,100,0,0,,GdPrv,,184000.0
RL,65.0,7800,Pave,Reg,AllPub,Inside,Gtl,5,1967,2004,Hip,TA,PConc,TA,864.0,GasA,Ex,Y,SBrkr,899,0,899,0.0,0.0,1,0,3,1,Gd,5,0,,Attchd,1.0,TA,64,0,0,0,,MnPrv,,130000.0
RL,70.0,7535,Pave,IR1,AllPub,Inside,Gtl,5,1958,1985,Gable,TA,CBlock,TA,912.0,GasA,Fa,Y,SBrkr,912,0,912,0.0,1.0,1,0,2,1,TA,5,0,,Attchd,1.0,TA,12,285,0,0,,MnWw,Shed,120000.0
RM,21.0,1890,Pave,Reg,AllPub,Inside,Gtl,6,1973,1973,Gable,TA,CBlock,TA,672.0,GasA,TA,Y,SBrkr,672,546,1218,0.0,0.0,1,1,3,1,TA,7,0,,Detchd,1.0,TA,144,28,0,0,,,,113000.0
FV,75.0,9803,Pave,Reg,AllPub,Inside,Gtl,7,2005,2005,Gable,Gd,PConc,Gd,866.0,GasA,Gd,Y,SBrkr,866,902,1768,0.0,0.0,2,1,3,1,Gd,7,0,,Attchd,2.0,TA,0,108,0,0,,,,226700.0
RL,70.0,9170,Pave,Reg,AllPub,Corner,Gtl,5,1965,1965,Hip,TA,CBlock,TA,1214.0,GasA,Ex,Y,SBrkr,1214,0,1214,1.0,0.0,1,0,2,1,TA,6,0,,Detchd,2.0,Fa,0,0,184,0,,GdPrv,Shed,140000.0
RL,100.0,15602,Pave,IR1,AllPub,Inside,Gtl,7,1959,1997,Gable,TA,CBlock,TA,1501.0,GasA,TA,Y,SBrkr,1801,0,1801,1.0,0.0,2,0,1,1,TA,6,2,TA,Attchd,2.0,TA,0,54,0,0,,GdWo,,289000.0
RL,24.0,2308,Pave,Reg,AllPub,Inside,Gtl,6,1974,1974,Gable,TA,CBlock,TA,855.0,GasA,TA,Y,SBrkr,855,467,1322,0.0,1.0,2,1,3,1,TA,6,1,Fa,Attchd,2.0,TA,260,0,0,0,,,,147000.0
RM,60.0,7596,Pave,Reg,AllPub,Inside,Gtl,5,1952,1952,Hip,TA,CBlock,TA,960.0,GasA,Gd,Y,SBrkr,960,1000,1960,0.0,0.0,2,0,4,2,TA,10,0,,Detchd,2.0,TA,0,0,0,0,,,,124500.0
RL,80.0,9554,Pave,IR1,AllPub,Inside,Gtl,8,1993,1994,Gable,Gd,PConc,Gd,777.0,GasA,Ex,Y,SBrkr,1065,846,1911,0.0,0.0,2,1,3,1,Gd,8,1,TA,Attchd,2.0,TA,182,81,0,0,,,,215000.0
FV,75.0,7862,Pave,IR1,AllPub,Inside,Gtl,6,2009,2009,Gable,Gd,PConc,Gd,1218.0,GasA,Ex,Y,SBrkr,1218,0,1218,0.0,0.0,2,0,2,1,Gd,4,0,,Attchd,2.0,TA,0,102,0,0,,,,208300.0
RM,60.0,9600,Pave,Reg,AllPub,Inside,Gtl,7,1928,2005,Gambrel,TA,BrkTil,TA,689.0,GasA,Ex,Y,SBrkr,689,689,1378,0.0,0.0,2,0,3,1,Gd,7,1,Gd,Detchd,2.0,TA,0,0,116,0,,,,161000.0
RL,80.0,9600,Pave,Reg,AllPub,Corner,Gtl,5,1959,1959,Gable,TA,CBlock,TA,1041.0,GasA,Ex,Y,SBrkr,1041,0,1041,1.0,0.0,1,0,3,1,TA,6,0,,Attchd,1.0,TA,224,88,0,0,,MnPrv,,124500.0
RL,75.0,14559,Pave,Reg,AllPub,Inside,Gtl,5,1951,2000,Hip,Gd,CBlock,TA,1008.0,GasA,Ex,Y,SBrkr,1363,0,1363,1.0,0.0,1,0,2,1,TA,6,2,TA,CarPort,1.0,TA,324,42,0,0,,,Shed,164900.0
RL,40.0,6792,Pave,IR1,AllPub,Inside,Gtl,7,2005,2006,Gable,Gd,PConc,Gd,1368.0,GasA,Ex,Y,SBrkr,1368,0,1368,0.0,0.0,2,0,2,1,Gd,6,1,Gd,Attchd,2.0,TA,132,35,0,0,,,,202665.0
RL,70.0,9100,Pave,Reg,AllPub,Corner,Gtl,5,1958,1958,Gable,TA,CBlock,TA,864.0,GasA,TA,Y,SBrkr,864,0,864,1.0,0.0,1,0,3,1,TA,5,0,,Detchd,2.0,TA,0,0,0,0,,,,129900.0
RL,71.0,9187,Pave,Reg,AllPub,Corner,Gtl,6,1983,1983,Gable,TA,PConc,TA,1084.0,GasA,TA,Y,SBrkr,1080,0,1080,0.0,0.0,1,1,3,1,TA,5,0,,Attchd,2.0,TA,120,0,158,0,,,,134000.0
RL,55.0,10594,Pave,Reg,AllPub,Inside,Gtl,5,1926,1950,Gable,TA,BrkTil,TA,768.0,Grav,Fa,N,SBrkr,789,0,789,0.0,0.0,1,0,2,1,TA,5,0,,Detchd,1.0,Po,0,0,112,0,,MnPrv,,96500.0
RL,94.0,12220,Pave,Reg,AllPub,Inside,Gtl,10,2009,2009,Hip,Ex,CBlock,Ex,2006.0,GasA,Ex,Y,SBrkr,2020,0,2020,1.0,0.0,2,1,3,1,Ex,9,1,Gd,Attchd,3.0,TA,156,54,0,0,,,,402861.0
RL,,10448,Pave,IR1,AllPub,Corner,Gtl,6,1972,1972,Gable,TA,CBlock,TA,689.0,GasA,TA,Y,SBrkr,1378,741,2119,0.0,0.0,2,1,3,1,TA,7,1,TA,Attchd,2.0,TA,0,104,0,0,,GdPrv,,158000.0
RL,79.0,10208,Pave,IR1,AllPub,Inside,Gtl,7,1996,1997,Gable,Gd,PConc,Gd,1264.0,GasA,Ex,Y,SBrkr,1277,1067,2344,0.0,0.0,2,1,3,1,Gd,7,1,TA,Attchd,3.0,TA,220,0,0,0,,,,265000.0
RL,,9531,Pave,IR1,AllPub,CulDSac,Gtl,6,1998,1998,Gable,TA,PConc,Gd,794.0,GasA,Ex,Y,SBrkr,882,914,1796,1.0,0.0,2,1,3,1,TA,7,0,,Attchd,2.0,TA,0,36,0,0,,MnPrv,,211000.0
RL,53.0,10918,Pave,Reg,AllPub,Inside,Gtl,7,1926,2004,Gambrel,Gd,BrkTil,Gd,1276.0,GasA,Ex,Y,SBrkr,1276,804,2080,0.0,0.0,1,1,3,1,Gd,9,2,Gd,Detchd,1.0,TA,0,0,0,0,,MnPrv,,234000.0
RL,60.0,10800,Pave,Reg,AllPub,Inside,Gtl,4,1900,2000,Gable,TA,BrkTil,,0.0,GasA,TA,N,FuseA,694,600,1294,0.0,0.0,2,0,3,2,TA,7,0,,,0.0,,220,114,210,0,,,,106250.0
RL,90.0,11988,Pave,IR1,AllPub,Corner,Gtl,6,1957,1957,Gable,TA,CBlock,TA,1244.0,GasA,Ex,Y,FuseA,1244,0,1244,0.0,0.0,1,1,3,1,TA,6,2,Gd,Attchd,1.0,TA,0,40,0,0,,,,150000.0
RM,50.0,5000,Pave,Reg,AllPub,Corner,Gtl,6,1947,1950,Gable,TA,CBlock,TA,1004.0,GasA,Ex,Y,SBrkr,1004,660,1664,0.0,0.0,2,0,3,1,TA,7,2,Gd,Detchd,2.0,TA,0,24,36,0,,,,159000.0
RL,130.0,40094,Pave,IR1,AllPub,Inside,Gtl,10,2007,2008,Hip,Ex,PConc,Ex,3138.0,GasA,Ex,Y,SBrkr,3138,1538,4676,1.0,0.0,3,1,3,1,Ex,11,1,Gd,BuiltIn,3.0,TA,208,406,0,0,,,,184750.0
RL,95.0,11787,Pave,IR1,AllPub,Inside,Gtl,7,1996,1997,Gable,Gd,PConc,Gd,1379.0,GasA,Ex,Y,SBrkr,1383,1015,2398,1.0,0.0,2,1,3,1,Gd,8,1,TA,Attchd,3.0,TA,239,60,0,0,,,,315750.0
FV,62.0,7500,Pave,Reg,AllPub,Inside,Gtl,7,2005,2005,Gable,Gd,PConc,Gd,1257.0,GasA,Ex,Y,SBrkr,1266,0,1266,0.0,0.0,2,0,3,1,Gd,6,1,TA,Attchd,2.0,TA,38,144,0,0,,,,176000.0
RL,70.0,13300,Pave,Reg,AllPub,Inside,Gtl,5,1956,2000,Hip,TA,CBlock,Gd,928.0,GasA,TA,Y,SBrkr,928,0,928,0.0,0.0,1,0,2,1,TA,4,0,,Attchd,1.0,TA,261,0,156,0,,,,132000.0
RL,67.0,14948,Pave,IR1,AllPub,Inside,Gtl,9,2008,2008,Hip,Ex,PConc,Ex,1452.0,GasA,Ex,Y,SBrkr,1476,1237,2713,1.0,0.0,2,1,3,1,Ex,11,1,Gd,Attchd,3.0,TA,126,66,0,0,,,,446261.0
RL,58.0,9098,Pave,IR1,AllPub,Inside,Gtl,4,1920,2002,Gable,TA,BrkTil,TA,528.0,GasA,Ex,Y,SBrkr,605,0,605,1.0,0.0,1,0,2,1,TA,5,0,,,0.0,,0,0,144,0,,,,86000.0
RL,,32668,Pave,IR1,AllPub,CulDSac,Gtl,6,1957,1975,Hip,Gd,PConc,TA,2035.0,GasA,TA,Y,SBrkr,2515,0,2515,1.0,0.0,3,0,4,2,TA,9,2,TA,Attchd,2.0,TA,0,0,200,0,,,,200624.0
RL,85.0,10200,Pave,Reg,AllPub,Inside,Gtl,6,1988,1989,Gable,Gd,CBlock,Gd,1461.0,GasA,Ex,Y,SBrkr,1509,0,1509,1.0,0.0,2,0,3,1,Gd,5,1,Fa,Attchd,2.0,TA,224,0,0,0,,,,175000.0
RM,60.0,6155,Pave,IR1,AllPub,FR3,Gtl,6,1920,1999,Gable,TA,BrkTil,Fa,611.0,GasA,Ex,Y,SBrkr,751,611,1362,0.0,0.0,2,0,3,1,TA,6,0,,Detchd,2.0,TA,0,0,84,0,,,,128000.0
RL,60.0,7200,Pave,Reg,AllPub,Inside,Gtl,5,1955,2007,Gable,TA,Slab,,0.0,GasA,Ex,Y,SBrkr,827,0,827,0.0,0.0,1,0,2,1,TA,5,1,Po,Detchd,1.0,TA,0,0,0,0,,,,107500.0
RL,50.0,5000,Pave,Reg,AllPub,Inside,Mod,1,1946,1950,Gable,Fa,Slab,,0.0,GasA,Fa,N,FuseF,334,0,334,0.0,0.0,1,0,1,1,Fa,2,0,,,0.0,,0,0,0,0,,,,39300.0
RL,74.0,9056,Pave,IR1,AllPub,Inside,Gtl,8,2004,2004,Gable,Gd,PConc,Ex,707.0,GasA,Ex,Y,SBrkr,707,707,1414,0.0,0.0,2,1,3,1,Gd,6,1,Gd,Attchd,2.0,TA,100,35,0,0,,,,178000.0
RL,70.0,7000,Pave,Reg,AllPub,Inside,Gtl,5,1910,1991,Gable,TA,CBlock,Gd,1117.0,GasA,TA,Y,SBrkr,820,527,1347,1.0,0.0,1,0,3,1,TA,5,0,,,0.0,,85,0,148,0,,,,107500.0
RL,57.0,8924,Pave,IR1,AllPub,CulDSac,Gtl,7,1998,1999,Gable,TA,PConc,Gd,880.0,GasA,Ex,Y,SBrkr,880,844,1724,0.0,0.0,2,1,3,1,Gd,8,0,,Attchd,2.0,TA,120,155,0,0,,,,188000.0
RL,,12735,Pave,IR1,AllPub,FR2,Gtl,4,1972,1972,Hip,TA,CBlock,TA,864.0,GasA,TA,Y,SBrkr,864,0,864,0.0,0.0,1,0,3,1,TA,5,0,,Detchd,2.0,TA,216,0,0,0,,MnWw,,111250.0
RL,,11553,Pave,IR1,AllPub,Inside,Gtl,5,1968,1968,Hip,TA,CBlock,TA,1051.0,GasA,TA,Y,SBrkr,1159,0,1159,0.0,0.0,1,1,3,1,TA,7,1,Fa,Attchd,1.0,TA,466,0,0,0,,,,158000.0
